pop_id	population	latitude	longitude	family	urban_rural	sample_source	ethnic_origin	geographic_region	sample_size	test_date	source_url	retrieved_at
croatia-krk-island	Croatia Krk Island	45º 4' N	14º 36' E	Not Known	Rural	Anthropology Study	Caucasoid	Europe	212	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Croatia%20Krk%20Island	2026-08-26
croatia-krk-island-dobrinj	Croatia Krk Island Dobrinj	45º 5' N	14º 34' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	28	1996	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Croatia%20Krk%20Island%20Dobrinj	2026-08-26
croatia-krk-island-dubasnica	Croatia Krk Island Dubasnica	45º 5' N	14º 34' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	23	1996	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Croatia%20Krk%20Island%20Dubasnica	2026-08-26
croatia-krk-island-vrbnik	Croatia Krk Island Vrbnik	45º 5' N	14º 34' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	28	1996	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Croatia%20Krk%20Island%20Vrbnik	2026-08-26
croatia-pop-2	Croatia pop 2	45º 0' N	15º 0' E	Not Known	Urban and Rural	Solid Organ Unrelated Donors	Caucasoid	Europe	100	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Croatia%20pop%202	2026-08-26
croatia-pop-3	Croatia pop 3	45º 6' N	15º 12' E	Not Known	Urban and Rural	Solid Organ Unrelated Donors	Caucasoid	Europe	120	0	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Croatia%20pop%203	2026-08-26
croatia-pop-4	Croatia pop 4	45º 48' N	15º 57' E	Not Known	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	4000	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Croatia%20pop%204	2026-08-26
cuba-caucasian	Cuba Caucasian	23º 8' N	82º 22' W	Not Known	Unknown	Blood Donor	Caucasoid	South and Central America	70	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Cuba%20Caucasian	2026-08-26
cuba-caucasian-kir	Cuba Caucasian KIR	23º 7' N	82º 22' W	Not Known	Unknown	Blood Donor	Caucasoid	South and Central America	70	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Cuba%20Caucasian%20KIR	2026-08-26
cuba-mixed	Cuba Mixed	23º 8' N	82º 23' W	Not Known	Urban and Rural	Anthropology Study	Mixed	South and Central America	78	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Cuba%20Mixed	2026-08-26
cuba-mixed-race	Cuba Mixed Race	23º 8' N	82º 22' W	Not Known	Unknown	Blood Donor	Mixed	South and Central America	42	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Cuba%20Mixed%20Race	2026-08-26
cuba-mixed-pop-2	Cuba Mixed pop 2	23º 8' N	82º 23' W	Not Known	Urban and Rural	Controls for Disease Study	Mixed	South and Central America	189	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Cuba%20Mixed%20pop%202	2026-08-26
cuban-mixed-race-kir	Cuban Mixed race KIR	23º 8' N	82º 23' W	Not Known	Unknown	Blood Donor	Mixed	South and Central America	42	2003	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Cuban%20Mixed%20race%20KIR	2026-08-26
cyprus-cytokine	Cyprus Cytokine	35º 8' N	33º 28' E	Not Known	Urban and Rural	Bone Marrow Registry	Caucasoid	Western Asia	100	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Cyprus%20Cytokine	2026-08-26
czech-republic	Czech Republic	50º 0' N	14º 0' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	106	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Czech%20Republic	2026-08-26
czech-republic-kir	Czech Republic KIR	50º 5' N	14º 25' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	125	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Czech%20Republic%20KIR	2026-08-26
czech-republic-kurd	Czech Republic Kurd	49º 44' N	15º 19' E	Not Known	Unknown	Bone Marrow Registry	Kurd	Europe	74	2008	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Czech%20Republic%20Kurd	2026-08-26
czech-republic-moravia-cytokine	Czech Republic Moravia Cytokine	49º 35' N	16º 35' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	67	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Czech%20Republic%20Moravia%20Cytokine	2026-08-26
czech-republic-moravia-cytokine-pop2	Czech Republic Moravia Cytokine pop2	49º 35' N	16º 35' E	Not Known	Unknown	Controls for Disease Study	Caucasoid	Europe	90	2014	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Czech%20Republic%20Moravia%20Cytokine%20pop2	2026-08-26
czech-republic-nmdr	Czech Republic NMDR	49º 48' N	15º 30' E	Parents live at same location	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	5099	2014	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Czech%20Republic%20NMDR	2026-08-26
czech-republic-prague-cytokine	Czech Republic Prague Cytokine	50º 0' N	14º 0' E	Not Known	Urban	Anthropology Study	Caucasoid	Europe	103	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Czech%20Republic%20Prague%20Cytokine	2026-08-26
czech-republic-prague-cytokine-pop2	Czech Republic Prague Cytokine pop2	50º 0' N	14º 0' E	Not Known	Urban and Rural	Other	Caucasoid	Europe	125	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Czech%20Republic%20Prague%20Cytokine%20pop2	2026-08-26
czech-republic-romani	Czech Republic Romani	50º 5' N	14º 28' E	Not Known	Unknown	Anthropology Study	Other	Europe	34	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Czech%20Republic%20Romani	2026-08-26
czech-republic-romani-pop-2	Czech Republic Romani  pop 2	49º 44' N	15º 19' E	Not Known	Unknown	Bone Marrow Registry	Other	Europe	46	2008	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Czech%20Republic%20Romani%20%20pop%202	2026-08-26
czech-republic-pop-2	Czech Republic pop 2	50º 5' N	14º 28' E	Not Known	Unknown	Controls for Disease Study	Caucasoid	Europe	99	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Czech%20Republic%20pop%202	2026-08-26
czech-republic-pop-3	Czech Republic pop 3	50º 7' N	14º 24' E	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	180	2015	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Czech%20Republic%20pop%203	2026-08-26
denmark	Denmark	55º 43' N	12º 34' E	Not Known	Urban and Rural	Anthropology Study	Caucasoid	Europe	55	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Denmark	2026-08-26
denmark-copenhagen-kir	Denmark Copenhagen KIR	55º 40' N	12º 34' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	50	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Denmark%20Copenhagen%20KIR	2026-08-26
denmark-cytokine	Denmark Cytokine	55º 59' N	10º 2' E	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	55	2003	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Denmark%20Cytokine	2026-08-26
denmark-pop-2	Denmark pop 2	57º 2' N	9º 55' E	Not Known	Unknown	Controls for Disease Study	Caucasoid	Europe	150	1998	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Denmark%20pop%202	2026-08-26
east-timor-kir	East Timor KIR	8º 34' S	125º 34' E	Not Known	Rural	Anthropology Study	Austronesian	Oceania	50	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=East%20Timor%20KIR	2026-08-26
ecuador-african	Ecuador African	2º 0' S	77º 0' W	Not Known	Unknown	Anthropology Study	Black	South and Central America	58	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Ecuador%20African	2026-08-26
ecuador-african-pop2	Ecuador African pop2	0º 10' N	78º 29' W	Not Known	Unknown	Controls for Disease Study	Black	South and Central America	45	0	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Ecuador%20African%20pop2	2026-08-26
ecuador-amazonia-mixed-ancestry	Ecuador Amazonia Mixed Ancestry	0º 48' S	76º 54' W	Parents live at same location	Urban and Rural	Solid Organ Unrelated Donors	Mixed	South and Central America	39	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Ecuador%20Amazonia%20Mixed%20Ancestry	2026-08-26
ecuador-amerindians	Ecuador Amerindians	0º 13' S	78º 30' W	Grandparents live at same location	Rural	Blood Donor	Amerindian	South and Central America	63	2017	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Ecuador%20Amerindians	2026-08-26
ecuador-andes-mixed-ancestry	Ecuador Andes Mixed Ancestry	1º 28' S	78º 49' W	Parents live at same location	Urban and Rural	Solid Organ Unrelated Donors	Mixed	South and Central America	824	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Ecuador%20Andes%20Mixed%20Ancestry	2026-08-26
ecuador-cayapa	Ecuador Cayapa	1º 3' N	79º 12' W	Grandparents live at same location	Rural	Anthropology Study	Amerindian	South and Central America	183 (A = 83)	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Ecuador%20Cayapa	2026-08-26
ecuador-cayapa-pop-2	Ecuador Cayapa pop 2	0º 10' N	78º 29' W	Not Known	Unknown	Controls for Disease Study	Amerindian	South and Central America	34	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Ecuador%20Cayapa%20pop%202	2026-08-26
ecuador-coast-mixed-ancestry	Ecuador Coast Mixed Ancestry	2º 11' S	79º 53' W	Parents live at same location	Urban and Rural	Solid Organ Unrelated Donors	Mixed	South and Central America	238	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Ecuador%20Coast%20Mixed%20Ancestry	2026-08-26
ecuador-mixed-ancestry	Ecuador Mixed Ancestry	0º 10' S	78º 28' W	Parents live at same location	Urban and Rural	Solid Organ Unrelated Donors	Mixed	South and Central America	1173	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Ecuador%20Mixed%20Ancestry	2026-08-26
ecuadorean-amerindians	Ecuadorean Amerindians	2º 54' S	79º 0' W	Grandparents live at same location	Urban and Rural	Blood Donor	Amerindian	South and Central America	75	2018	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Ecuadorean%20Amerindians	2026-08-26
england	England	52º 37' N	1º 17' W	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	537	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England	2026-08-26
england-bedfordshire	England Bedfordshire	52º 8' N	0º 27' W	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	354	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Bedfordshire	2026-08-26
england-bedfordshire-mic	England Bedfordshire MIC	52º 7' N	0º 27' W	Not Known	Unknown	Blood Donor	Caucasoid	Europe	354	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Bedfordshire%20MIC	2026-08-26
england-blood-donors-of-mixed-ethnicity	England Blood Donors of Mixed Ethnicity	52º 21' N	1º 10' W	Not Known	Unknown	Blood Donor	Mixed	Europe	519	2016	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Blood%20Donors%20of%20Mixed%20Ethnicity	2026-08-26
england-cytokine	England Cytokine	52º 33' N	1º 28' W	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	90	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Cytokine	2026-08-26
england-kir	England KIR	51º 0' N	0º 0' W	Not Known	Urban and Rural	Other	Caucasoid	Europe	136	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20KIR	2026-08-26
england-kir-pop-2	England KIR pop 2	53º 48' N	1º 33' W	Not Known	Urban	Controls for Disease Study	Caucasoid	Europe	94	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20KIR%20pop%202	2026-08-26
england-kir-pop-3	England KIR pop 3	51º 45' N	1º 15' W	Not Known	Unknown	Controls for Disease Study	Caucasoid	Europe	334	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20KIR%20pop%203	2026-08-26
england-kir-pop-4	England KIR pop 4	51º 30' N	0º 7' W	Not Known	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	99	2008	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20KIR%20pop%204	2026-08-26
england-kir-pop-5	England KIR pop 5	50º 49' N	1º 5' W	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	584	2009	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20KIR%20pop%205	2026-08-26
england-lancaster	England Lancaster	54º 2' N	2º 48' W	Not Known	Urban and Rural	Blood Donor	Caucasoid	Europe	545 (C = 428)	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Lancaster	2026-08-26
england-leeds	England Leeds	53º 47' N	1º 32' W	Not Known	Urban and Rural	Blood Donor	Caucasoid	Europe	5024 (C = 2420)	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Leeds	2026-08-26
england-liverpool	England Liverpool	53º 24' N	3º 0' W	Not Known	Urban and Rural	Blood Donor	Caucasoid	Europe	1343 (C = 1054)	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Liverpool	2026-08-26
england-london-ashkenazi-jews	England London Ashkenazi Jews	51º 30' N	0º 7' W	Not Known	Unknown	Bone Marrow Registry	Jew	Europe	500 (C = 412)	1998	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20London%20Ashkenazi%20Jews	2026-08-26
england-mic	England MIC	54º 58' N	1º 36' W	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	118	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20MIC	2026-08-26
england-manchester	England Manchester	53º 28' N	2º 14' W	Not Known	Urban and Rural	Blood Donor	Caucasoid	Europe	1640 (C = 1289)	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Manchester	2026-08-26
england-newcastle	England Newcastle	54º 58' N	1º 36' W	Not Known	Urban and Rural	Blood Donor	Caucasoid	Europe	2739 (C = 1308)	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Newcastle	2026-08-26
england-newcastle-cytokine	England Newcastle Cytokine	55º 0' N	1º 36' W	Not Known	Urban	Blood Donor	Caucasoid	Europe	200	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Newcastle%20Cytokine	2026-08-26
england-norfolk-cytokine	England Norfolk Cytokine	52º 6' N	1º 2' E	Not Known	Urban and Rural	Other	Caucasoid	Europe	2100	2003	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Norfolk%20Cytokine	2026-08-26
england-north-west	England North West	53º 0' N	3º 0' W	Not Known	Urban and Rural	Blood Donor	Caucasoid	Europe	298	2010	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20North%20West	2026-08-26
england-north-west-mixed-pop-2	England North West Mixed pop 2	53º 28' N	2º 14' W	Not Known	Urban	Other	Mixed	Europe	379	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20North%20West%20Mixed%20pop%202	2026-08-26
england-northwest-cytokine	England Northwest Cytokine	53º 0' N	4º 0' W	Not Known	Urban	Other	Caucasoid	Europe	500	1998	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Northwest%20Cytokine	2026-08-26
england-northwest-mic	England Northwest MIC	53º 28' N	2º 14' W	Not Known	Urban and Rural		Caucasoid	Europe	250	2008	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Northwest%20MIC	2026-08-26
england-northwest-mixed	England Northwest Mixed	53º 28' N	2º 14' W	Not Known	Urban	Anthropology Study	Mixed	Europe	2960	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Northwest%20Mixed	2026-08-26
england-oxfordshire-kir	England Oxfordshire KIR	51º 45' N	1º 15' W	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	216	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Oxfordshire%20KIR	2026-08-26
england-sheffield	England Sheffield	53º 23' N	1º 28' W	Not Known	Urban and Rural	Blood Donor	Caucasoid	Europe	4755 (C = 3840)	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Sheffield	2026-08-26
england-south-cytokine	England South Cytokine	51º 0' N	1º 3' W	Not Known	Urban and Rural	Other	Caucasoid	Europe	260	2003	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20South%20Cytokine	2026-08-26
england-southeast-cytokine	England Southeast Cytokine	51º 30' N	0º 36' W	Not Known	Urban	Blood Donor	Caucasoid	Europe	76	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20Southeast%20Cytokine	2026-08-26
england-west-midlands-afro-caribbean-kir	England West Midlands Afro Caribbean KIR	52º 29' N	1º 54' W	Not Known	Urban and Rural	Blood Donor	Black	Europe	54	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20West%20Midlands%20Afro%20Caribbean%20KIR	2026-08-26
england-west-midlands-indian-asian-kir	England West Midlands Indian Asian KIR	52º 29' N	1º 54' W	Not Known	Urban and Rural	Blood Donor	Asian	Europe	35	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20West%20Midlands%20Indian%20Asian%20KIR	2026-08-26
england-west-midlands-kir	England West Midlands KIR	52º 55' N	1º 54' W	Not Known	Urban and Rural	Blood Donor	Caucasoid	Europe	126	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20West%20Midlands%20KIR	2026-08-26
england-pop-2	England pop 2	53º 23' N	1º 28' W	Not Known	Urban and Rural	Anthropology Study	Caucasoid	Europe	114	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20pop%202	2026-08-26
england-pop-3	England pop 3	51º 30' N	0º 7' W	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	61 (DQA1 = 59, DQB1 = 50)	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20pop%203	2026-08-26
england-pop-4	England pop 4	50º 22' N	4º 8' W	Not Known	Unknown	Controls for Disease Study	Caucasoid	Europe	82	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20pop%204	2026-08-26
england-pop-5	England pop 5	54º 0' N	2º 0' W	Not Known	Unknown	Controls for Disease Study	Caucasoid	Europe	42	1990	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20pop%205	2026-08-26
england-pop-6	England pop 6	51º 30' N	0º 7' W	Not Known	Urban and Rural	Anthropology Study	Caucasoid	Europe	177	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=England%20pop%206	2026-08-26
equatorial-guinea-bioko-island-bubi	Equatorial Guinea Bioko Island Bubi	3º 30' N	8º 42' E	Grandparents live at same location	Unknown	Anthropology Study	Black	Sub-Saharan Africa	100	1996	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Equatorial%20Guinea%20Bioko%20Island%20Bubi	2026-08-26
equatorial-guinea-bioko-island-bubi-kir	Equatorial Guinea Bioko Island Bubi KIR	1º 55' N	10º 6' E	Not Known	Rural	Anthropology Study	Black	Sub-Saharan Africa	95	2009	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Equatorial%20Guinea%20Bioko%20Island%20Bubi%20KIR	2026-08-26
ethiopia-amhara	Ethiopia Amhara	9º 1' N	38º 44' E	Grandparents live at same location	Rural	Anthropology Study	Black	North Africa	98	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Ethiopia%20Amhara	2026-08-26
ethiopia-oromo	Ethiopia Oromo	9º 1' N	38º 44' E	Grandparents live at same location	Rural	Anthropology Study	Black	North Africa	83	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Ethiopia%20Oromo	2026-08-26
fiji-viti-levu-island	Fiji Viti Levu Island	17º 48' S	178º 0' E	Not Known	Rural	Anthropology Study	Melanesian	Oceania	57	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Fiji%20Viti%20Levu%20Island	2026-08-26
finland	Finland	63º 29' N	25º 16' E	Not Known	Urban	Anthropology Study	Caucasoid	Europe	91	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Finland	2026-08-26
finland-helsinki-kir	Finland Helsinki KIR	60º 0' N	25º 0' E	Not Known	Unknown	Solid Organ Unrelated Donors	Caucasoid	Europe	101	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Finland%20Helsinki%20KIR	2026-08-26
finland-kir	Finland KIR	63º 48' N	26º 24' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	35	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Finland%20KIR	2026-08-26
finland-pop2	Finland pop2	64º 0' N	26º 0' E	Not Known	Unknown	Controls for Disease Study	Caucasoid	Europe	150	2012	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Finland%20pop2	2026-08-26
france-bordeaux	France Bordeaux	44º 50' N	0º 34' W	Not Known	Urban and Rural	Bone Marrow Registry	Mixed	Europe	990 (A = 931, B = 961, C = 947, DRB1 = 946)	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Bordeaux	2026-08-26
france-ceph	France Ceph	44º 0' N	0º 0' E	Not Known	Urban and Rural	Anthropology Study	Caucasoid	Europe	124	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Ceph	2026-08-26
france-corsica-island	France Corsica Island	42º 9' N	9º 5' E	Grandparents live at same location	Unknown	Anthropology Study	Caucasoid	Europe	100	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Corsica%20Island	2026-08-26
france-french-bone-marrow-donor-registry	France French Bone Marrow Donor Registry	48º 51' N	2º 21' E	Not Known	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	42623	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20French%20Bone%20Marrow%20Donor%20Registry	2026-08-26
france-grenoble	France Grenoble	45º 12' N	5º 43' E	Not Known	Urban and Rural	Bone Marrow Registry	Mixed	Europe	1000 (A = 940, B = 974, C = 957, DRB1 = 964)	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Grenoble	2026-08-26
france-grenoble-nantes-and-rennes	France Grenoble, Nantes and Rennes	47º 13' N	1º 33' W	Not Known	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	6094	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Grenoble%2C%20Nantes%20and%20Rennes	2026-08-26
france-lille	France Lille	46º 0' N	2º 0' E	Not Known	Unknown	Controls for Disease Study	Caucasoid	Europe	95	1996	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Lille	2026-08-26
france-lyon	France Lyon	45º 45' N	4º 50' E	Not Known	Urban	Bone Marrow Registry	Caucasoid	Europe	4813 (A = 4536, B = 4690, C = 4594, DRB1 = 4640)	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Lyon	2026-08-26
france-marseille	France Marseille	43º 17' N	5º 22' E	Not Known	Urban and Rural	Bone Marrow Registry	Mixed	Europe	1000 (A = 943, B = 975, C = 961, DRB1 = 960)	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Marseille	2026-08-26
france-nantes-kir	France Nantes KIR	47º 13' N	1º 33' W	Not Known	Unknown	Blood Donor	Caucasoid	Europe	59	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Nantes%20KIR	2026-08-26
france-reims	France Reims	49º 15' N	4º 2' E	Parents live at same location	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	102	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Reims	2026-08-26
france-reims-kir	France Reims KIR	49º 15' N	4º 2' E	Parents live at same location	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	102	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Reims%20KIR	2026-08-26
france-rennes	France Rennes	48º 6' N	1º 40' W	Not Known	Urban	Anthropology Study	Caucasoid	Europe	200 (DPB1 = 83)	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Rennes	2026-08-26
france-rennes-pop-2	France Rennes pop 2	48º 6' N	1º 40' W	Not Known	Unknown	Controls for Disease Study	Caucasoid	Europe	148	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Rennes%20pop%202	2026-08-26
france-rennes-pop-3	France Rennes pop 3	48º 6' N	1º 40' W	Not Known	Urban and Rural	Anthropology Study	Caucasoid	Europe	200 (A = 102, B = 102)	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Rennes%20pop%203	2026-08-26
france-rennes-pop-4	France Rennes pop 4	48º 6' N	1º 40' W	Not Known	Urban and Rural	Bone Marrow Registry	Mixed	Europe	1000 (A = 928, B = 964, C = 954, DRB1 = 954)	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Rennes%20pop%204	2026-08-26
france-south	France South	43º 36' N	1º 26' E	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	350	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20South	2026-08-26
france-southeast	France Southeast	46º 0' N	5º 0' E	Parents live at same location	Urban	Anthropology Study	Caucasoid	Europe	130	1996	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Southeast	2026-08-26
france-southeast-kir	France Southeast KIR	46º 0' N	5º 0' E	Parents live at same location	Urban	Anthropology Study	Caucasoid	Europe	130	2003	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Southeast%20KIR	2026-08-26
france-southeast-kir-pop-2	France Southeast KIR pop 2	43º 17' N	5º 22' E	Grandparents live at same location	Urban	Bone Marrow Registry	Caucasoid	Europe	38	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Southeast%20KIR%20pop%202	2026-08-26
france-southeast-kir-pop-3	France Southeast KIR pop 3	43º 18' N	5º 22' E	Not Known	Urban	Blood Donor	Caucasoid	Europe	49	2008	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20Southeast%20KIR%20pop%203	2026-08-26
france-west	France West	48º 0' N	2º 0' W	Not Known	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	100	2003	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20West	2026-08-26
france-west-breton	France West Breton	47º 59' N	4º 5' W	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	150	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20West%20Breton	2026-08-26
france-west-kir	France West KIR	47º 0' N	2º 0' E	Not Known	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	108	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=France%20West%20KIR	2026-08-26
gabon-haut-ogooue-dienga	Gabon Haut-Ogooue Dienga	1º 38' S	13º 35' E	Not Known	Rural	Anthropology Study	Black	Sub-Saharan Africa	167	1997	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Gabon%20Haut-Ogooue%20Dienga	2026-08-26
gabon-kir	Gabon KIR	1º 38' S	13º 35' E	Not Known	Rural	Controls for Disease Study	Black	Sub-Saharan Africa	54	2009	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Gabon%20KIR	2026-08-26
gabon-lambarene	Gabon Lambarene	0º 41' N	10º 13' E	Not Known	Unknown	Anthropology Study	Black	Sub-Saharan Africa	120	1997	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Gabon%20Lambarene	2026-08-26
gambia	Gambia	13º 28' N	16º 0' W	Not Known	Unknown	Anthropology Study	Black	Sub-Saharan Africa	146	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Gambia	2026-08-26
